entity_name,category,category_uuid,usd,btc,txs,usd_in,btc_in,txs_in
BrooksInvest,atm,f88c4acb-a9b6-11ea-b6eb-0adaa880d7fe,3197.04,0.07579658,12,3197.04,0.07579658,12
BrooksInvest,criminal,f88c4f4c-a9b6-11ea-b6eb-0adaa880d7fe,374383.61,11.71617123,2143,374383.61,11.71617123,2143
BrooksInvest,dark market,f88c4a3b-a9b6-11ea-b6eb-0adaa880d7fe,221668.78,6.78428267,2131,221668.78,6.78428267,2131
BrooksInvest,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,121030986.95,4032.70227852,112115,121030986.95,4032.70227852,112115
BrooksInvest,faucet,f88c4c8e-a9b6-11ea-b6eb-0adaa880d7fe,18.92,0.00045752,4,18.92,0.00045752,4
BrooksInvest,gambling,f88c473a-a9b6-11ea-b6eb-0adaa880d7fe,4121333.61,151.23344905,22109,4121333.61,151.23344905,22109
BrooksInvest,high risk exchange,f88c5069-a9b6-11ea-b6eb-0adaa880d7fe,2204773.97,68.44843354,3958,2204773.97,68.44843354,3958
BrooksInvest,hyip,f88c4b56-a9b6-11ea-b6eb-0adaa880d7fe,579562.31,18.92073802,826,606839160.68,18431.81892866,29374
BrooksInvest,miner,f88c4bfd-a9b6-11ea-b6eb-0adaa880d7fe,3058.7,0.11632679,17,3058.7,0.11632679,17
BrooksInvest,mixer,f88c486d-a9b6-11ea-b6eb-0adaa880d7fe,131004.57,4.22842673,118,131004.57,4.22842673,118
BrooksInvest,pool,f88c491b-a9b6-11ea-b6eb-0adaa880d7fe,2953.85,0.08176337,8,2953.85,0.08176337,8
BrooksInvest,ransomware,f88c4d1c-a9b6-11ea-b6eb-0adaa880d7fe,17802.33,0.67455536,69,17802.33,0.67455536,69
BrooksInvest,services,f88c49ad-a9b6-11ea-b6eb-0adaa880d7fe,7488937.11,253.89321012,31252,7488937.11,253.89321012,31252
BrooksInvest,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,988604.19,29.31706104,2859,988604.19,29.31706104,2859
BrooksInvest,UNKNOWN,,282506996.7,9288.64696246,25496,282506996.7,9288.64696246,25496
BTC-Alpha,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,25237834.52,564.29273016,3258,140066766.06,3160.68363702,8838
BTC-Alpha,high risk exchange,f88c5069-a9b6-11ea-b6eb-0adaa880d7fe,9216.19,0.25254504,36,9216.19,0.25254504,36
BTC-Alpha,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,23600.14,0.58495176,126,23600.14,0.58495176,126
BTC-Alpha,UNKNOWN,,17881451.13,560.44302678,2304,17881451.13,560.44302678,2304
BtcBank,criminal,f88c4f4c-a9b6-11ea-b6eb-0adaa880d7fe,1236.13,0.02679166,14,1236.13,0.02679166,14
BtcBank,dark market,f88c4a3b-a9b6-11ea-b6eb-0adaa880d7fe,23255.63,0.489921,234,23255.63,0.489921,234
BtcBank,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,607646.89,16.23347045,1291,2928835.96,74.51982442,5260
BtcBank,faucet,f88c4c8e-a9b6-11ea-b6eb-0adaa880d7fe,75.15,0.001637,1,75.15,0.001637,1
BtcBank,gambling,f88c473a-a9b6-11ea-b6eb-0adaa880d7fe,9955.24,0.2651805,38,9955.24,0.2651805,38
BtcBank,high risk exchange,f88c5069-a9b6-11ea-b6eb-0adaa880d7fe,49857.96,1.68628445,155,49857.96,1.68628445,155
BtcBank,hyip,f88c4b56-a9b6-11ea-b6eb-0adaa880d7fe,1721.2,0.069399,12,1721.2,0.069399,12
BtcBank,miner,f88c4bfd-a9b6-11ea-b6eb-0adaa880d7fe,995.5,0.02555684,6,995.5,0.02555684,6
BtcBank,ransomware,f88c4d1c-a9b6-11ea-b6eb-0adaa880d7fe,466.73,0.02,1,466.73,0.02,1
BtcBank,services,f88c49ad-a9b6-11ea-b6eb-0adaa880d7fe,15954.9,0.53327003,131,15954.9,0.53327003,131
BtcBank,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,38425.17,1.03008064,181,38425.17,1.03008064,181
BtcBank,UNKNOWN,,2902365.7,80.83115226,4596,2902365.7,80.83115226,4596
BTCBit,dark market,f88c4a3b-a9b6-11ea-b6eb-0adaa880d7fe,516.68,0.01134,14,516.68,0.01134,14
BTCBit,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,5423181.98,237.19524332,980,11141808.21,431.33530986,1078
BTCBit,gambling,f88c473a-a9b6-11ea-b6eb-0adaa880d7fe,1402.67,0.03514,14,1402.67,0.03514,14
BTCBit,high risk exchange,f88c5069-a9b6-11ea-b6eb-0adaa880d7fe,3869381.01,167.13354,322,3869381.01,167.13354,322
BTCBit,hyip,f88c4b56-a9b6-11ea-b6eb-0adaa880d7fe,1562.09,0.07728,28,1562.09,0.07728,28
BTCBit,services,f88c49ad-a9b6-11ea-b6eb-0adaa880d7fe,6775537.23,228.74516,56,6775537.23,228.74516,56
BTCBit,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,5099.56,0.24808,28,5099.56,0.24808,28
BTCBit,UNKNOWN,,713189838.27,21593.24311984,2324,713189838.27,21593.24311984,2324
BtcBox,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,167261099.83,4563.11039541,6027,198575399.38,5356.36489899,11424
BtcBox,gambling,f88c473a-a9b6-11ea-b6eb-0adaa880d7fe,412009.91,9.02168022,315,412009.91,9.02168022,315
BtcBox,high risk exchange,f88c5069-a9b6-11ea-b6eb-0adaa880d7fe,531149.64,21.29445885,84,531149.64,21.29445885,84
BtcBox,services,f88c49ad-a9b6-11ea-b6eb-0adaa880d7fe,714447.23,18.98555946,231,714447.23,18.98555946,231
BtcBox,UNKNOWN,,313806657.21,7889.77585746,9828,313806657.21,7889.77585746,9828
BTCC.com,dark market,f88c4a3b-a9b6-11ea-b6eb-0adaa880d7fe,356.75,0.0117206,2,356.75,0.0117206,2
BTCC.com,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,81985.14,2.76944474,168,6183504.26,208.11493912,432
BTCC.com,services,f88c49ad-a9b6-11ea-b6eb-0adaa880d7fe,332.58,0.01097826,4,332.58,0.01097826,4
BTCC.com,UNKNOWN,,390300.48,13.03977432,134,390300.48,13.03977432,134
BTC-e.com,high risk exchange,f88c5069-a9b6-11ea-b6eb-0adaa880d7fe,703.11,0.033808,4,703.11,0.033808,4
BTCExchange,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,4755371.79,134.10683156,68,5018492.61,139.6194068,96
BTCExchange,high risk exchange,f88c5069-a9b6-11ea-b6eb-0adaa880d7fe,4258.71,0.06764582,2,4258.71,0.06764582,2
BTCExchange,mixer,f88c486d-a9b6-11ea-b6eb-0adaa880d7fe,100397.55,2.264549,2,100397.55,2.264549,2
BTCExchange,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,2993.02,0.1022,2,2993.02,0.1022,2
BTCExchange,UNKNOWN,,19436001.3,666.09733712,294,19436001.3,666.09733712,294
BtcMarkets.net,criminal,f88c4f4c-a9b6-11ea-b6eb-0adaa880d7fe,55184.48,1.34248779,68,55184.48,1.34248779,68
BtcMarkets.net,dark market,f88c4a3b-a9b6-11ea-b6eb-0adaa880d7fe,67210.49,1.45595497,204,67210.49,1.45595497,204
BtcMarkets.net,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,685958094.61,13730.4552001,18785,735952324.61,14796.60570513,34782
BtcMarkets.net,gambling,f88c473a-a9b6-11ea-b6eb-0adaa880d7fe,416388,9.74219187,663,416388,9.74219187,663
BtcMarkets.net,high risk exchange,f88c5069-a9b6-11ea-b6eb-0adaa880d7fe,165942.94,3.29659937,187,165942.94,3.29659937,187
BtcMarkets.net,hyip,f88c4b56-a9b6-11ea-b6eb-0adaa880d7fe,65805.73,1.49869841,51,65805.73,1.49869841,51
BtcMarkets.net,services,f88c49ad-a9b6-11ea-b6eb-0adaa880d7fe,1334186.74,26.04057008,2652,1334186.74,26.04057008,2652
BtcMarkets.net,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,12494.76,0.28685664,51,12494.76,0.28685664,51
BtcMarkets.net,UNKNOWN,,3817512966.3,82937.44693572,55930,3817512966.3,82937.44693572,55930
BTCNext,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,2665.04,0.0697,34,2665.04,0.0697,34
BTCNext,UNKNOWN,,63347.21,1.50436264,34,63347.21,1.50436264,34
BTCPop.co,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,0,0,0,29069.41,0.95572453,34
BTCPop.co,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,11878.62,0.27523323,102,11878.62,0.27523323,102
BTCPop.co,UNKNOWN,,26876496.43,821.32090667,527,26876496.43,821.32090667,527
BTCSquare,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,355135.21,6.8993775,342,404392.92,7.742628,468
BTCSquare,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,1588.52,0.04626,54,1588.52,0.04626,54
BTCSquare,UNKNOWN,,233598.62,4.42794798,468,233598.62,4.42794798,468
BTCTradeUA,criminal,f88c4f4c-a9b6-11ea-b6eb-0adaa880d7fe,25041.12,0.6064,16,25041.12,0.6064,16
BTCTradeUA,dark market,f88c4a3b-a9b6-11ea-b6eb-0adaa880d7fe,28343.02,0.600288,176,28343.02,0.600288,176
BTCTradeUA,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,30299541.82,848.746224,5376,30496150.35,853.86341872,5776
BTCTradeUA,high risk exchange,f88c5069-a9b6-11ea-b6eb-0adaa880d7fe,4453.34,0.116496,64,4453.34,0.116496,64
BTCTradeUA,miner,f88c4bfd-a9b6-11ea-b6eb-0adaa880d7fe,259796.96,10.271632,128,259796.96,10.271632,128
BTCTradeUA,mixer,f88c486d-a9b6-11ea-b6eb-0adaa880d7fe,17013.38,0.28832,16,17013.38,0.28832,16
BTCTradeUA,services,f88c49ad-a9b6-11ea-b6eb-0adaa880d7fe,73651.77,2.541536,144,73651.77,2.541536,144
BTCTradeUA,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,11511.98,0.3264,240,11511.98,0.3264,240
BTCTradeUA,UNKNOWN,,21862701.98,568.63841344,6768,21862701.98,568.63841344,6768
BTCTurk,criminal,f88c4f4c-a9b6-11ea-b6eb-0adaa880d7fe,1968244.39,48.04329552,6896,1968244.39,48.04329552,6896
BTCTurk,dark market,f88c4a3b-a9b6-11ea-b6eb-0adaa880d7fe,842445.45,15.49319456,4768,842445.45,15.49319456,4768
BTCTurk,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,8159242663.53,218269.28556064,710384,307516650905.63,9224783.0768232,1196224
BTCTurk,gambling,f88c473a-a9b6-11ea-b6eb-0adaa880d7fe,97454599.25,2804.65239696,155392,97454599.25,2804.65239696,155392
BTCTurk,high risk exchange,f88c5069-a9b6-11ea-b6eb-0adaa880d7fe,11981938.1,381.050084,9664,11981938.1,381.050084,9664
BTCTurk,hyip,f88c4b56-a9b6-11ea-b6eb-0adaa880d7fe,1366363.22,50.71837312,2416,1366363.22,50.71837312,2416
BTCTurk,miner,f88c4bfd-a9b6-11ea-b6eb-0adaa880d7fe,8799472.16,219.666596,2368,8799472.16,219.666596,2368
BTCTurk,mixer,f88c486d-a9b6-11ea-b6eb-0adaa880d7fe,1631519.9,49.27990576,112,1631519.9,49.27990576,112
BTCTurk,pool,f88c491b-a9b6-11ea-b6eb-0adaa880d7fe,1834.48,0.0395016,32,1834.48,0.0395016,32
BTCTurk,services,f88c49ad-a9b6-11ea-b6eb-0adaa880d7fe,61068138.3,1664.26895008,176560,61068138.3,1664.26895008,176560
