entity_name,category,category_uuid,usd,btc,txs,usd_in,btc_in,txs_in
Valr,atm,f88c4acb-a9b6-11ea-b6eb-0adaa880d7fe,208807.96,7.0804509,300,208807.96,7.0804509,300
Valr,criminal,f88c4f4c-a9b6-11ea-b6eb-0adaa880d7fe,54518.29,1.28955795,105,54518.29,1.28955795,105
Valr,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,18023559897.2,559575.31027155,500520,25721411887.65,799255.94440995,606540
Valr,gambling,f88c473a-a9b6-11ea-b6eb-0adaa880d7fe,677080.55,22.6619544,2490,677080.55,22.6619544,2490
Valr,high risk exchange,f88c5069-a9b6-11ea-b6eb-0adaa880d7fe,47879.08,2.2003536,225,47879.08,2.2003536,225
Valr,hyip,f88c4b56-a9b6-11ea-b6eb-0adaa880d7fe,1684127.03,68.7074574,1905,1684127.03,68.7074574,1905
Valr,miner,f88c4bfd-a9b6-11ea-b6eb-0adaa880d7fe,3071604.28,88.9231071,21315,3071604.28,88.9231071,21315
Valr,pool,f88c491b-a9b6-11ea-b6eb-0adaa880d7fe,1474696.78,58.2064701,3120,1474696.78,58.2064701,3120
Valr,services,f88c49ad-a9b6-11ea-b6eb-0adaa880d7fe,2405346808.18,107867.47743525,19260,2405346808.18,107867.47743525,19260
Valr,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,1371721.08,39.0120996,690,1371721.08,39.0120996,690
Valr,UNKNOWN,,19641613865.94,644445.41318025,1099605,19641613865.94,644445.41318025,1099605
Vaultoro.com,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,24966754.64,803.70105516,1566,26393638.29,845.45092944,2358
Vaultoro.com,miner,f88c4bfd-a9b6-11ea-b6eb-0adaa880d7fe,2599.42,0.12571974,108,2599.42,0.12571974,108
Vaultoro.com,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,3892.24,0.1125,90,3892.24,0.1125,90
Vaultoro.com,UNKNOWN,,63343566.41,2124.30266118,4554,63343566.41,2124.30266118,4554
vbtc,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,706100.75,17.9864904,272,5669787.23,147.94283216,1504
vbtc,gambling,f88c473a-a9b6-11ea-b6eb-0adaa880d7fe,200167.72,5.05153008,288,200167.72,5.05153008,288
vbtc,hyip,f88c4b56-a9b6-11ea-b6eb-0adaa880d7fe,118823.93,2.77224672,48,118823.93,2.77224672,48
vbtc,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,12711.41,0.3568,176,12711.41,0.3568,176
vbtc,UNKNOWN,,2003254.08,57.00082928,672,2003254.08,57.00082928,672
