entity_name,category,txs_sent,usd_sent,txs_recieved,usd_recieved,Sent_Risk_Percentage,Recieved_Risk_Percentage
BC.Game,ransomware,2,629.27,0.0,0.0,0.0,
BITPoint,criminal,105,63003.96,0.0,0.0,0.0,
BITPoint,dark market,84,19954.65,0.0,0.0,0.0,
BITPoint,gambling,5460,5588663.53,1056.0,1575638.99,0.0,0.0
BITPoint,high risk exchange,336,1133447.65,132.0,1650008.11,0.0,0.0
BITPoint,hyip,42,33743.49,0.0,0.0,0.0,
BKEX,criminal,72,7110.37,0.0,0.0,0.01,
BKEX,dark market,90,11318.33,0.0,0.0,0.01,
BKEX,gambling,54,74594.67,19.0,9467.81,0.0,0.0
BKEX,high risk exchange,18,3944.06,95.0,933004.87,0.0,0.0
BTC-Alpha,high risk exchange,36,9216.19,0.0,0.0,0.0,
BTC-e.com,high risk exchange,4,703.11,0.0,0.0,0.01,
BTCBit,dark market,14,516.68,0.0,0.0,0.03,
BTCBit,gambling,14,1402.67,0.0,0.0,0.01,
BTCBit,high risk exchange,322,3869381.01,0.0,0.0,0.0,
BTCBit,hyip,28,1562.09,0.0,0.0,0.02,
BTCC.com,dark market,2,356.75,0.0,0.0,0.01,
BTCExchange,high risk exchange,2,4258.71,0.0,0.0,0.0,
BTCExchange,mixer,2,100397.55,0.0,0.0,0.0,
BTCTradeUA,criminal,16,25041.12,119.0,193152.74,0.0,0.0
BTCTradeUA,dark market,176,28343.02,323.0,568596.32,0.01,0.0
BTCTradeUA,high risk exchange,64,4453.34,221.0,43469.49,0.01,0.01
BTCTradeUA,mixer,16,17013.38,0.0,0.0,0.0,
BTCTurk,criminal,6896,1968244.39,1564.0,328382.96,0.0,0.0
BTCTurk,dark market,4768,842445.45,323.0,82681.5,0.01,0.0
BTCTurk,gambling,155392,97454599.25,28458.0,13666206.42,0.0,0.0
BTCTurk,high risk exchange,9664,11981938.1,2533.0,6394234.76,0.0,0.0
BTCTurk,hyip,2416,1366363.22,8925.0,3362343.91,0.0,0.0
BTCTurk,mixer,112,1631519.9,0.0,0.0,0.0,
BTX,criminal,6,430.15,0.0,0.0,0.01,
BTX,high risk exchange,57,30643.48,0.0,0.0,0.0,
BTX,hyip,3,37.43,0.0,0.0,0.08,
Baanx,criminal,9,50.43,0.0,0.0,0.18,
Baanx,high risk exchange,9,4464.64,0.0,0.0,0.0,
Baksman,dark market,1513,320485.12,360.0,233178.81,0.0,0.0
Baksman,high risk exchange,119,55619.63,0.0,0.0,0.0,
BankCEX,high risk exchange,8,1025.56,0.0,0.0,0.01,
Bankcomat,dark market,1216,415648.24,68.0,6677.7,0.0,0.01
Bankcomat,high risk exchange,592,565460.47,85.0,3940.2,0.0,0.02
Bankcomat,hyip,16,736.97,85.0,20413.22,0.02,0.0
Betcoin.ag,dark market,6,2005.78,4.0,1002.19,0.0,0.0
Betcoin.ag,gambling,73,41511.14,50.0,18705.62,0.0,0.0
Betcoin.ag,high risk exchange,106,104416.42,0.0,0.0,0.0,
Betcoin.ag,hyip,1,23.57,60.0,15221.36,0.04,0.0
Bexplus,dark market,32,7134.7,0.0,0.0,0.0,
Bexplus,gambling,48,7492.32,17.0,546.28,0.01,0.03
Bexplus,high risk exchange,16,1646.11,0.0,0.0,0.01,
Bexplus,hyip,16,425.92,17.0,1412.21,0.04,0.01
Bibox,criminal,50,27311.64,26.0,3810.76,0.0,0.01
Bibox,dark market,75,33416.21,1170.0,2787339.07,0.0,0.0
Bibox,gambling,200,555449.41,286.0,979078.1,0.0,0.0
Bibox,high risk exchange,800,506386.93,806.0,495166.62,0.0,0.0
Bibox,hyip,75,35671.54,468.0,83830.06,0.0,0.01
Bibox,ransomware,25,4573.96,0.0,0.0,0.01,
BigBankCash,dark market,17,1105.95,0.0,0.0,0.02,
BigONE,high risk exchange,68,3434.4,18.0,879.43,0.02,0.02
Biki,high risk exchange,18,14742.69,0.0,0.0,0.0,
Bilaxy,dark market,20,8249.11,0.0,0.0,0.0,
Billium,high risk exchange,4,5808.95,0.0,0.0,0.0,
Binance.com,criminal,258152,156524838.75,215832.0,826710066.3,0.0,0.0
Binance.com,dark market,216752,68224232.9,96840.0,123474899.35,0.0,0.0
Binance.com,gambling,3153300,3574011418.17,1364184.0,2521476063.38,0.0,0.0
Binance.com,high risk exchange,1567128,4618815233.74,499944.0,2367497014.58,0.0,0.0
Binance.com,hyip,307326,335787948.58,592656.0,1566730139.84,0.0,0.0
Binance.com,malware,46,5035.31,0.0,0.0,0.01,
Binance.com,mixer,51336,456775263.27,1464.0,12945821.09,0.0,0.0
Binance.com,ransomware,6072,9574665.32,19416.0,107697415.4,0.0,0.0
BinanceUS,criminal,3822,2640190.23,88.0,13483.43,0.0,0.01
BinanceUS,dark market,1953,556674.03,154.0,23947.58,0.0,0.01
BinanceUS,gambling,73899,68188921.59,16830.0,33888244.08,0.0,0.0
BinanceUS,high risk exchange,10227,24836682.26,506.0,922835.73,0.0,0.0
BinanceUS,hyip,6909,22296661.83,5148.0,5477621.08,0.0,0.0
BinanceUS,mixer,546,3080537.32,0.0,0.0,0.0,
BinaryOptionMarket,high risk exchange,2,41.58,0.0,0.0,0.05,
BinaryOptionMarket,hyip,0,0.0,6.0,114.36,,0.05
BingX,criminal,24,433937.52,5.0,23.87,0.0,0.21
BingX,dark market,36,58616.14,0.0,0.0,0.0,
BingX,gambling,176,114098.3,220.0,131907.8,0.0,0.0
BingX,high risk exchange,220,82000.93,420.0,146786.07,0.0,0.0
BingX,hyip,84,103317.28,160.0,58923.09,0.0,0.0
BingX,malware,4,122.2,0.0,0.0,0.03,
Birake,criminal,3495,2566398.01,304.0,869699.73,0.0,0.0
Birake,gambling,240,149592.99,16.0,13654.28,0.0,0.0
Birake,high risk exchange,6120,33559572.31,2960.0,16887427.9,0.0,0.0
Birake,hyip,45,61455.98,320.0,590401.13,0.0,0.0
Birake,mixer,30,218235.84,16.0,617.22,0.0,0.03
Bit2C,gambling,112,59761.75,102.0,194582.7,0.0,0.0
Bit2C,hyip,16,460010.99,136.0,59295.42,0.0,0.0
Bit2me.com,criminal,221,45894.9,306.0,746859.77,0.0,0.0
Bit2me.com,dark market,850,82763.37,36.0,285.59,0.01,0.13
Bit2me.com,gambling,4794,577840.91,3096.0,1774861.94,0.01,0.0
Bit2me.com,high risk exchange,1479,1538044.72,18.0,29957.53,0.0,0.0
Bit2me.com,hyip,408,179470.13,846.0,219235.1,0.0,0.0
BitForex,criminal,252,206131.57,0.0,0.0,0.0,
BitForex,dark market,210,67874.22,1034.0,476258.88,0.0,0.0
BitForex,gambling,966,455286.67,484.0,295377.66,0.0,0.0
BitForex,high risk exchange,1659,1193469.39,198.0,91673.8,0.0,0.0
BitForex,hyip,273,136713.47,1958.0,2738931.74,0.0,0.0
BitForex,ransomware,21,5170.33,0.0,0.0,0.0,
BitGlobal,high risk exchange,100,306889.55,231.0,85122.13,0.0,0.0
BitGlobal,hyip,60,67073.33,42.0,13155.76,0.0,0.0
BitMart,criminal,63,243303.46,0.0,0.0,0.0,
BitMart,dark market,168,57457.56,0.0,0.0,0.0,
BitMart,gambling,441,299418.16,88.0,10810.95,0.0,0.01
BitMart,high risk exchange,1008,2524012.29,22.0,164759.06,0.0,0.0
BitMart,hyip,147,68221.28,176.0,167931.98,0.0,0.0
BitMaxLVC,dark market,55,5001.42,0.0,0.0,0.01,
BitMaxLVC,gambling,1364,1010233.23,852.0,792948.31,0.0,0.0
BitMaxLVC,high risk exchange,11,546.19,0.0,0.0,0.02,
BitMaxLVC,hyip,11,9611.9,0.0,0.0,0.0,
BitMyMoney,high risk exchange,42,5247.99,0.0,0.0,0.01,
